No;Jenis BMN;Kode Barang;NUP;Nama Barang;;Merk;Kode1;Kode2;Kode3;ISBN1;ISBN2;ISBN3;Barcode1;Barcode2;Barcode3
2080;ASET TETAP LAINNYA;6010101001;6;Monografi;Aktif;;-;-;-;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2156;ASET TETAP LAINNYA;6010101001;82;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2348;ASET TETAP LAINNYA;6010101001;274;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2368;ASET TETAP LAINNYA;6010101001;294;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2376;ASET TETAP LAINNYA;6010101001;302;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2412;ASET TETAP LAINNYA;6010101001;338;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2418;ASET TETAP LAINNYA;6010101001;344;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2565;ASET TETAP LAINNYA;6010101001;491;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2586;ASET TETAP LAINNYA;6010101001;512;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2629;ASET TETAP LAINNYA;6010101001;555;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2716;ASET TETAP LAINNYA;6010101001;642;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2775;ASET TETAP LAINNYA;6010101001;701;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2872;ASET TETAP LAINNYA;6010101001;798;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2901;ASET TETAP LAINNYA;6010101001;827;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2925;ASET TETAP LAINNYA;6010101001;851;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2951;ASET TETAP LAINNYA;6010101001;877;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2957;ASET TETAP LAINNYA;6010101001;883;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2981;ASET TETAP LAINNYA;6010101001;907;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
3019;ASET TETAP LAINNYA;6010101001;945;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
3046;ASET TETAP LAINNYA;6010101001;972;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
3107;ASET TETAP LAINNYA;6010101001;1033;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
3156;ASET TETAP LAINNYA;6010101001;1082;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
3180;ASET TETAP LAINNYA;6010101001;1106;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
3195;ASET TETAP LAINNYA;6010101001;1121;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
3310;ASET TETAP LAINNYA;6010101001;1236;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
3327;ASET TETAP LAINNYA;6010101001;1253;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
3390;ASET TETAP LAINNYA;6010101001;1316;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
3430;ASET TETAP LAINNYA;6010101001;1356;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
3458;ASET TETAP LAINNYA;6010101001;1384;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
3463;ASET TETAP LAINNYA;6010101001;1389;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
3488;ASET TETAP LAINNYA;6010101001;1414;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
3490;ASET TETAP LAINNYA;6010101001;1416;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
3600;ASET TETAP LAINNYA;6010101001;1526;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
3727;ASET TETAP LAINNYA;6010101001;1653;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
3786;ASET TETAP LAINNYA;6010101001;1712;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
3906;ASET TETAP LAINNYA;6010101001;1832;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
3916;ASET TETAP LAINNYA;6010101001;1842;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
3923;ASET TETAP LAINNYA;6010101001;1849;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
3964;ASET TETAP LAINNYA;6010101001;1890;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4031;ASET TETAP LAINNYA;6010101001;1957;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4083;ASET TETAP LAINNYA;6010101001;2009;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4197;ASET TETAP LAINNYA;6010101001;2123;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4215;ASET TETAP LAINNYA;6010101001;2141;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4366;ASET TETAP LAINNYA;6010101001;2292;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4426;ASET TETAP LAINNYA;6010101001;2352;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4436;ASET TETAP LAINNYA;6010101001;2362;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4533;ASET TETAP LAINNYA;6010101001;2459;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4551;ASET TETAP LAINNYA;6010101001;2477;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4590;ASET TETAP LAINNYA;6010101001;2516;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4632;ASET TETAP LAINNYA;6010101001;2558;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4677;ASET TETAP LAINNYA;6010101001;2603;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4702;ASET TETAP LAINNYA;6010101001;2628;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4802;ASET TETAP LAINNYA;6010101001;2728;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4839;ASET TETAP LAINNYA;6010101001;2765;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4911;ASET TETAP LAINNYA;6010101001;2837;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4956;ASET TETAP LAINNYA;6010101001;2882;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
5031;ASET TETAP LAINNYA;6010101001;2957;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
5064;ASET TETAP LAINNYA;6010101001;2990;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
5066;ASET TETAP LAINNYA;6010101001;2992;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
5105;ASET TETAP LAINNYA;6010101001;3031;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
5142;ASET TETAP LAINNYA;6010101001;3068;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
5174;ASET TETAP LAINNYA;6010101001;3100;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
5346;ASET TETAP LAINNYA;6010101001;3272;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
5405;ASET TETAP LAINNYA;6010101001;3331;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
5584;ASET TETAP LAINNYA;6010101001;3510;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
5588;ASET TETAP LAINNYA;6010101001;3514;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
5597;ASET TETAP LAINNYA;6010101001;3523;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
5685;ASET TETAP LAINNYA;6010101001;3611;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
5909;ASET TETAP LAINNYA;6010101001;3835;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
5944;ASET TETAP LAINNYA;6010101001;3870;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
5955;ASET TETAP LAINNYA;6010101001;3881;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6052;ASET TETAP LAINNYA;6010101001;3978;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6079;ASET TETAP LAINNYA;6010101001;4005;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6105;ASET TETAP LAINNYA;6010101001;4031;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6125;ASET TETAP LAINNYA;6010101001;4051;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6218;ASET TETAP LAINNYA;6010101001;4144;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6219;ASET TETAP LAINNYA;6010101001;4145;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6268;ASET TETAP LAINNYA;6010101001;4194;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6270;ASET TETAP LAINNYA;6010101001;4196;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6272;ASET TETAP LAINNYA;6010101001;4198;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6323;ASET TETAP LAINNYA;6010101001;4249;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6339;ASET TETAP LAINNYA;6010101001;4265;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6350;ASET TETAP LAINNYA;6010101001;4276;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6445;ASET TETAP LAINNYA;6010101001;4371;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6456;ASET TETAP LAINNYA;6010101001;4382;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6465;ASET TETAP LAINNYA;6010101001;4391;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6475;ASET TETAP LAINNYA;6010101001;4401;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6488;ASET TETAP LAINNYA;6010101001;4414;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6554;ASET TETAP LAINNYA;6010101001;4480;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6559;ASET TETAP LAINNYA;6010101001;4485;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6597;ASET TETAP LAINNYA;6010101001;4523;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6690;ASET TETAP LAINNYA;6010101001;4616;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6744;ASET TETAP LAINNYA;6010101001;4670;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6749;ASET TETAP LAINNYA;6010101001;4675;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
